semantic_loop_id,primitive_loop_id,canonical_primitive_core,closed_path,transition_length,allowed_orientations,reverse_path_id,motif_type,development_count,stock_breadth,session_breadth,month_breadth,quarter_breadth,clock_breadth,top_stock_share,top_month_share,complete_semantic_identity,source_gap_free,primary_length_eligible,sensitivity_length_eligible,selection_period,support_pass,run_id,git_sha,contract_hash,data_snapshot_hash,dictionary_version,dictionary_hash,state_model_version,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,decision_id,symbol,session,decision_timestamp,event_timestamp,source_artifact,source_hash
loop_p_0-1-2-4-3-6-0,loop_p_0-1-2-4-3-6-0,"[0, 1, 2, 4, 3, 6]","[0, 1, 2, 4, 3, 6, 0]",6,"[[0, 1, 2, 4, 3, 6, 0], [1, 2, 4, 3, 6, 0, 1], [2, 4, 3, 6, 0, 1, 2], [3, 6, 0, 1, 2, 4, 3], [4, 3, 6, 0, 1, 2, 4], [6, 0, 1, 2, 4, 3, 6]]",loop_p_0-6-3-4-2-1-0,primitive,18,2,2,2,1,3,0.944444444444,0.944444444444,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-4-5-0,loop_p_0-1-2-4-5-0,"[0, 1, 2, 4, 5]","[0, 1, 2, 4, 5, 0]",5,"[[0, 1, 2, 4, 5, 0], [1, 2, 4, 5, 0, 1], [2, 4, 5, 0, 1, 2], [4, 5, 0, 1, 2, 4], [5, 0, 1, 2, 4, 5]]",loop_p_0-5-4-2-1-0,primitive,3,1,1,1,1,1,1,1,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-4-5-6-3-0,loop_p_0-1-2-4-5-6-3-0,"[0, 1, 2, 4, 5, 6, 3]","[0, 1, 2, 4, 5, 6, 3, 0]",7,"[[0, 1, 2, 4, 5, 6, 3, 0], [1, 2, 4, 5, 6, 3, 0, 1], [2, 4, 5, 6, 3, 0, 1, 2], [3, 0, 1, 2, 4, 5, 6, 3], [4, 5, 6, 3, 0, 1, 2, 4], [5, 6, 3, 0, 1, 2, 4, 5], [6, 3, 0, 1, 2, 4, 5, 6]]",loop_p_0-3-6-5-4-2-1-0,primitive,3,1,1,1,1,1,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-4-6-3-0,loop_p_0-1-2-4-6-3-0,"[0, 1, 2, 4, 6, 3]","[0, 1, 2, 4, 6, 3, 0]",6,"[[0, 1, 2, 4, 6, 3, 0], [1, 2, 4, 6, 3, 0, 1], [2, 4, 6, 3, 0, 1, 2], [3, 0, 1, 2, 4, 6, 3], [4, 6, 3, 0, 1, 2, 4], [6, 3, 0, 1, 2, 4, 6]]",loop_p_0-3-6-4-2-1-0,primitive,2,1,1,1,1,1,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-5-3-0,loop_p_0-1-2-5-3-0,"[0, 1, 2, 5, 3]","[0, 1, 2, 5, 3, 0]",5,"[[0, 1, 2, 5, 3, 0], [1, 2, 5, 3, 0, 1], [2, 5, 3, 0, 1, 2], [3, 0, 1, 2, 5, 3], [5, 3, 0, 1, 2, 5]]",loop_p_0-3-5-2-1-0,primitive,1,1,1,1,1,1,1,1,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-5-4-6-3-0,loop_p_0-1-2-5-4-6-3-0,"[0, 1, 2, 5, 4, 6, 3]","[0, 1, 2, 5, 4, 6, 3, 0]",7,"[[0, 1, 2, 5, 4, 6, 3, 0], [1, 2, 5, 4, 6, 3, 0, 1], [2, 5, 4, 6, 3, 0, 1, 2], [3, 0, 1, 2, 5, 4, 6, 3], [4, 6, 3, 0, 1, 2, 5, 4], [5, 4, 6, 3, 0, 1, 2, 5], [6, 3, 0, 1, 2, 5, 4, 6]]",loop_p_0-3-6-4-5-2-1-0,primitive,11,1,1,1,1,2,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-6-3-0,loop_p_0-1-2-6-3-0,"[0, 1, 2, 6, 3]","[0, 1, 2, 6, 3, 0]",5,"[[0, 1, 2, 6, 3, 0], [1, 2, 6, 3, 0, 1], [2, 6, 3, 0, 1, 2], [3, 0, 1, 2, 6, 3], [6, 3, 0, 1, 2, 6]]",loop_p_0-3-6-2-1-0,primitive,11,4,5,5,3,1,0.454545454545,0.363636363636,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-6-4-0,loop_p_0-1-2-6-4-0,"[0, 1, 2, 6, 4]","[0, 1, 2, 6, 4, 0]",5,"[[0, 1, 2, 6, 4, 0], [1, 2, 6, 4, 0, 1], [2, 6, 4, 0, 1, 2], [4, 0, 1, 2, 6, 4], [6, 4, 0, 1, 2, 6]]",loop_p_0-4-6-2-1-0,primitive,3,1,1,1,1,1,1,1,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-6-4-3-0,loop_p_0-1-2-6-4-3-0,"[0, 1, 2, 6, 4, 3]","[0, 1, 2, 6, 4, 3, 0]",6,"[[0, 1, 2, 6, 4, 3, 0], [1, 2, 6, 4, 3, 0, 1], [2, 6, 4, 3, 0, 1, 2], [3, 0, 1, 2, 6, 4, 3], [4, 3, 0, 1, 2, 6, 4], [6, 4, 3, 0, 1, 2, 6]]",loop_p_0-3-4-6-2-1-0,primitive,5,1,1,1,1,1,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-3-0,loop_p_0-1-3-0,"[0, 1, 3]","[0, 1, 3, 0]",3,"[[0, 1, 3, 0], [1, 3, 0, 1], [3, 0, 1, 3]]",loop_p_0-3-1-0,primitive,6208,22,722,12,4,3,0.170586340206,0.103737113402,True,True,True,False,development,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-3-2-0,loop_p_0-1-3-2-0,"[0, 1, 3, 2]","[0, 1, 3, 2, 0]",4,"[[0, 1, 3, 2, 0], [1, 3, 2, 0, 1], [2, 0, 1, 3, 2], [3, 2, 0, 1, 3]]",loop_p_0-2-3-1-0,primitive,198,21,43,12,4,2,0.161616161616,0.237373737374,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-3-2-4-0,loop_p_0-1-3-2-4-0,"[0, 1, 3, 2, 4]","[0, 1, 3, 2, 4, 0]",5,"[[0, 1, 3, 2, 4, 0], [1, 3, 2, 4, 0, 1], [2, 4, 0, 1, 3, 2], [3, 2, 4, 0, 1, 3], [4, 0, 1, 3, 2, 4]]",loop_p_0-4-2-3-1-0,primitive,3,2,2,2,2,2,0.666666666667,0.666666666667,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-3-4-0,loop_p_0-1-3-4-0,"[0, 1, 3, 4]","[0, 1, 3, 4, 0]",4,"[[0, 1, 3, 4, 0], [1, 3, 4, 0, 1], [3, 4, 0, 1, 3], [4, 0, 1, 3, 4]]",loop_p_0-4-3-1-0,primitive,83,10,19,10,4,3,0.313253012048,0.349397590361,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-3-4-2-0,loop_p_0-1-3-4-2-0,"[0, 1, 3, 4, 2]","[0, 1, 3, 4, 2, 0]",5,"[[0, 1, 3, 4, 2, 0], [1, 3, 4, 2, 0, 1], [2, 0, 1, 3, 4, 2], [3, 4, 2, 0, 1, 3], [4, 2, 0, 1, 3, 4]]",loop_p_0-2-4-3-1-0,primitive,95,9,18,9,4,2,0.389473684211,0.221052631579,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-3-4-5-2-0,loop_p_0-1-3-4-5-2-0,"[0, 1, 3, 4, 5, 2]","[0, 1, 3, 4, 5, 2, 0]",6,"[[0, 1, 3, 4, 5, 2, 0], [1, 3, 4, 5, 2, 0, 1], [2, 0, 1, 3, 4, 5, 2], [3, 4, 5, 2, 0, 1, 3], [4, 5, 2, 0, 1, 3, 4], [5, 2, 0, 1, 3, 4, 5]]",loop_p_0-2-5-4-3-1-0,primitive,2,1,1,1,1,1,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
